seed,model,year,regime_distance,auc,baseline,delta,in_sample,n_year
1,LogReg,2020,0.7303273484033659,0.7508622911349057,0.7284192580091395,0.02244303312576612,False,4435
1,LogReg,2021,0.6712826746469097,0.6380328135814028,0.7284192580091395,-0.09038644442773669,False,4408
1,LogReg,2022,0.5978431964526879,0.6753165159447883,0.7284192580091395,-0.05310274206435128,False,4391
1,LogReg,2023,0.6179285610025648,0.7154466499636722,0.7284192580091395,-0.012972608045467293,False,4380
1,RF,2011,0.5662957645369706,0.7233284532558291,0.7293646900133863,-0.006036236757557267,True,4655
1,RF,2012,0.5246072864341932,0.7291380038502098,0.7293646900133863,-0.00022668616317655932,True,4687
1,RF,2013,0.53314172941891,0.7351501369327074,0.7293646900133863,0.005785446919321036,True,4660
1,RF,2014,0.48770919211117425,0.7362091503267975,0.7293646900133863,0.006844460313411127,True,4648
1,RF,2015,0.5119094402235612,0.7065526853560304,0.7293646900133863,-0.02281200465735589,True,4623
1,RF,2016,0.47722012838658034,0.7467877129710235,0.7293646900133863,0.017423022957637202,True,4578
1,RF,2017,0.49665245479434267,0.724288381522707,0.7293646900133863,-0.005076308490679304,True,4531
1,RF,2018,0.5416874401395977,0.7349528484249367,0.7293646900133863,0.005588158411550359,True,4507
1,RF,2019,0.5802459426490791,0.7353736165312519,0.7293646900133863,0.006008926517865554,False,4462
1,RF,2020,0.7602201755258091,0.7481756849786589,0.7293646900133863,0.01881099496527261,False,4435
1,RF,2021,0.7152990361272188,0.6479664536090869,0.7293646900133863,-0.08139823640429944,False,4408
1,RF,2022,0.6439591754896221,0.6787720133269871,0.7293646900133863,-0.05059267668639922,False,4391
1,RF,2023,0.6350359002161658,0.7084293238389997,0.7293646900133863,-0.020935366174386627,False,4380
1,GBM,2011,0.572183365808635,0.7288588070975077,0.7394624778848377,-0.010603670787329933,True,4655
1,GBM,2012,0.5341329159487813,0.7426836946467575,0.7394624778848377,0.0032212167619198873,True,4687
