seed,model,n,tau,year,alarm_rate,n_frame
2,RF,400,0.684566398976508,2021,0.6235,1318
2,RF,400,0.684566398976508,2022,0.511,1313
2,RF,400,0.684566398976508,2023,0.177,1310
2,RF,800,0.6996617734482088,2019,0.085,1325
2,RF,800,0.6996617734482088,2020,0.015,1325
2,RF,800,0.6996617734482088,2021,0.8675,1318
2,RF,800,0.6996617734482088,2022,0.81,1313
2,RF,800,0.6996617734482088,2023,0.304,1310
2,GBM,25,0.5367647058823529,2019,0.064,1325
2,GBM,25,0.5367647058823529,2020,0.06462925851703406,1325
2,GBM,25,0.5367647058823529,2021,0.158,1318
2,GBM,25,0.5367647058823529,2022,0.08,1313
2,GBM,25,0.5367647058823529,2023,0.0455,1310
2,GBM,50,0.6024922942661913,2019,0.069,1325
2,GBM,50,0.6024922942661913,2020,0.072,1325
2,GBM,50,0.6024922942661913,2021,0.204,1318
2,GBM,50,0.6024922942661913,2022,0.1145,1313
2,GBM,50,0.6024922942661913,2023,0.048,1310
2,GBM,100,0.6473125000000001,2019,0.0855,1325
2,GBM,100,0.6473125000000001,2020,0.0725,1325
2,GBM,100,0.6473125000000001,2021,0.3135,1318
2,GBM,100,0.6473125000000001,2022,0.184,1313
2,GBM,100,0.6473125000000001,2023,0.062,1310
2,GBM,200,0.675196106043796,2019,0.094,1325
2,GBM,200,0.675196106043796,2020,0.068,1325
2,GBM,200,0.675196106043796,2021,0.5055,1318
2,GBM,200,0.675196106043796,2022,0.2945,1313
2,GBM,200,0.675196106043796,2023,0.062,1310
2,GBM,400,0.6924670037673769,2019,0.103,1325
2,GBM,400,0.6924670037673769,2020,0.052,1325
2,GBM,400,0.6924670037673769,2021,0.7145,1318
2,GBM,400,0.6924670037673769,2022,0.45,1313
2,GBM,400,0.6924670037673769,2023,0.063,1310
2,GBM,800,0.7073652282051576,2019,0.162,1325
2,GBM,800,0.7073652282051576,2020,0.068,1325
2,GBM,800,0.7073652282051576,2021,0.927,1318
2,GBM,800,0.7073652282051576,2022,0.7355,1313
2,GBM,800,0.7073652282051576,2023,0.092,1310
3,LogReg,25,0.5415833333333333,2019,0.08,1349
3,LogReg,25,0.5415833333333333,2020,0.0945472736368184,1350
3,LogReg,25,0.5415833333333333,2021,0.20340681362725452,1342
3,LogReg,25,0.5415833333333333,2022,0.141,1342
3,LogReg,25,0.5415833333333333,2023,0.074,1330
3,LogReg,50,0.6030701754385965,2019,0.0885,1349
3,LogReg,50,0.6030701754385965,2020,0.066,1350
3,LogReg,50,0.6030701754385965,2021,0.261,1342
3,LogReg,50,0.6030701754385965,2022,0.2155,1342
3,LogReg,50,0.6030701754385965,2023,0.098,1330
3,LogReg,100,0.6439602875612693,2019,0.0895,1349
3,LogReg,100,0.6439602875612693,2020,0.079,1350
3,LogReg,100,0.6439602875612693,2021,0.386,1342
3,LogReg,100,0.6439602875612693,2022,0.3585,1342
3,LogReg,100,0.6439602875612693,2023,0.105,1330
3,LogReg,200,0.6725502006917342,2019,0.1105,1349
3,LogReg,200,0.6725502006917342,2020,0.076,1350
