panel,cutoff,seed,model,year,elapsed,auc,baseline,delta,n,n_baseline
imbalanced,2018,1,LogReg,2022,4,0.6753165159447883,0.7284192580091395,-0.05310274206435128,1314,10978
imbalanced,2018,1,LogReg,2023,5,0.7154466499636722,0.7284192580091395,-0.012972608045467293,1318,10978
imbalanced,2018,1,RF,2019,1,0.7353736165312519,0.7293646900133863,0.006008926517865554,1330,10978
imbalanced,2018,1,RF,2020,2,0.7481756849786589,0.7293646900133863,0.01881099496527261,1322,10978
imbalanced,2018,1,RF,2021,3,0.6479664536090869,0.7293646900133863,-0.08139823640429944,1320,10978
imbalanced,2018,1,RF,2022,4,0.6787720133269871,0.7293646900133863,-0.05059267668639922,1314,10978
imbalanced,2018,1,RF,2023,5,0.7084293238389997,0.7293646900133863,-0.020935366174386627,1318,10978
imbalanced,2018,1,GBM,2019,1,0.7451032136992729,0.7394624778848377,0.005640735814435249,1330,10978
imbalanced,2018,1,GBM,2020,2,0.7583466604532281,0.7394624778848377,0.018884182568390417,1322,10978
imbalanced,2018,1,GBM,2021,3,0.6448379206999897,0.7394624778848377,-0.09462455718484797,1320,10978
imbalanced,2018,1,GBM,2022,4,0.6891837220371251,0.7394624778848377,-0.050278755847712575,1314,10978
imbalanced,2018,1,GBM,2023,5,0.7232435353464837,0.7394624778848377,-0.016218942538353986,1318,10978
imbalanced,2018,2,LogReg,2019,1,0.7160642125948989,0.7279660656848799,-0.01190185308998093,1325,11086
imbalanced,2018,2,LogReg,2020,2,0.7468154626214062,0.7279660656848799,0.01884939693652632,1325,11086
imbalanced,2018,2,LogReg,2021,3,0.6786785473814916,0.7279660656848799,-0.04928751830338829,1318,11086
imbalanced,2018,2,LogReg,2022,4,0.6762363936694384,0.7279660656848799,-0.05172967201544143,1313,11086
imbalanced,2018,2,LogReg,2023,5,0.7226575447464368,0.7279660656848799,-0.005308520938443029,1310,11086
imbalanced,2018,2,RF,2019,1,0.7275311237204107,0.7330164575557551,-0.00548533383534433,1325,11086
imbalanced,2018,2,RF,2020,2,0.747043422997748,0.7330164575557551,0.014026965441992889,1325,11086
imbalanced,2018,2,RF,2021,3,0.6750933463916263,0.7330164575557551,-0.05792311116412874,1318,11086
imbalanced,2018,2,RF,2022,4,0.6825660139392826,0.7330164575557551,-0.05045044361647244,1313,11086
imbalanced,2018,2,RF,2023,5,0.7095391738481935,0.7330164575557551,-0.023477283707561525,1310,11086
imbalanced,2018,2,GBM,2019,1,0.7265683035925967,0.7409794362008271,-0.014411132608230348,1325,11086
imbalanced,2018,2,GBM,2020,2,0.74291768558047,0.7409794362008271,0.0019382493796429312,1325,11086
imbalanced,2018,2,GBM,2021,3,0.6750802298026392,0.7409794362008271,-0.06589920639818792,1318,11086
imbalanced,2018,2,GBM,2022,4,0.6950781908109914,0.7409794362008271,-0.04590124538983564,1313,11086
imbalanced,2018,2,GBM,2023,5,0.7335295305767319,0.7409794362008271,-0.007449905624095199,1310,11086
imbalanced,2018,3,LogReg,2019,1,0.7222341981676803,0.7365733561538655,-0.014339157986185236,1349,11185
imbalanced,2018,3,LogReg,2020,2,0.7348646084414585,0.7365733561538655,-0.0017087477124070327,1350,11185
imbalanced,2018,3,LogReg,2021,3,0.6606767039015703,0.7365733561538655,-0.07589665225229525,1342,11185
imbalanced,2018,3,LogReg,2022,4,0.6618102899736389,0.7365733561538655,-0.07476306618022666,1342,11185
imbalanced,2018,3,LogReg,2023,5,0.7124186007361325,0.7365733561538655,-0.024154755417733043,1330,11185
imbalanced,2018,3,RF,2019,1,0.7305976852208278,0.7384836792361952,-0.007885994015367381,1349,11185
imbalanced,2018,3,RF,2020,2,0.7447561413405815,0.7384836792361952,0.006272462104386367,1350,11185
imbalanced,2018,3,RF,2021,3,0.6743796109993293,0.7384836792361952,-0.06410406823686587,1342,11185
imbalanced,2018,3,RF,2022,4,0.6774611398963731,0.7384836792361952,-0.061022539339822046,1342,11185
imbalanced,2018,3,RF,2023,5,0.7053608094906505,0.7384836792361952,-0.03312286974554468,1330,11185
imbalanced,2018,3,GBM,2019,1,0.7379064336489849,0.750529897164524,-0.012623463515539113,1349,11185
imbalanced,2018,3,GBM,2020,2,0.7290021283142726,0.750529897164524,-0.021527768850251428,1350,11185
imbalanced,2018,3,GBM,2021,3,0.678308355882421,0.750529897164524,-0.07222154128210301,1342,11185
imbalanced,2018,3,GBM,2022,4,0.6849786383056086,0.750529897164524,-0.06555125885891544,1342,11185
imbalanced,2018,3,GBM,2023,5,0.7208269884631768,0.750529897164524,-0.029702908701347175,1330,11185
imbalanced,2018,4,LogReg,2019,1,0.7029795480499705,0.7284625653091863,-0.025483017259215757,1330,11053
imbalanced,2018,4,LogReg,2020,2,0.7426635069764843,0.7284625653091863,0.014200941667298017,1321,11053
imbalanced,2018,4,LogReg,2021,3,0.6401298926435444,0.7284625653091863,-0.08833267266564193,1305,11053
imbalanced,2018,4,LogReg,2022,4,0.6532762015389917,0.7284625653091863,-0.07518636377019461,1308,11053
imbalanced,2018,4,LogReg,2023,5,0.7020131211404476,0.7284625653091863,-0.026449444168738734,1311,11053
imbalanced,2018,4,RF,2019,1,0.7357537780072991,0.7299291749355326,0.0058246030717665764,1330,11053
imbalanced,2018,4,RF,2020,2,0.7432122584794341,0.7299291749355326,0.013283083543901508,1321,11053
imbalanced,2018,4,RF,2021,3,0.6728661820973514,0.7299291749355326,-0.05706299283818117,1305,11053
imbalanced,2018,4,RF,2022,4,0.6802892899575126,0.7299291749355326,-0.049639884978019966,1308,11053
imbalanced,2018,4,RF,2023,5,0.6964398471697508,0.7299291749355326,-0.03348932776578173,1311,11053
imbalanced,2018,4,GBM,2019,1,0.72758550927565,0.7396484296086797,-0.012062920333029692,1330,11053
imbalanced,2018,4,GBM,2020,2,0.749019587282946,0.7396484296086797,0.009371157674266328,1321,11053
imbalanced,2018,4,GBM,2021,3,0.6616135662898253,0.7396484296086797,-0.07803486331885445,1305,11053
imbalanced,2018,4,GBM,2022,4,0.6740342742567124,0.7396484296086797,-0.06561415535196735,1308,11053
imbalanced,2018,4,GBM,2023,5,0.7111890899750635,0.7396484296086797,-0.028459339633616243,1311,11053
imbalanced,2016,0,LogReg,2017,1,0.7511329854815034,0.7395947055136337,0.011538279967869713,1358,8399
imbalanced,2016,0,LogReg,2018,2,0.7224008075541595,0.7395947055136337,-0.017193897959474236,1353,8399
imbalanced,2016,0,LogReg,2019,3,0.7207711557579577,0.7395947055136337,-0.018823549755676017,1344,8399
imbalanced,2016,0,LogReg,2020,4,0.7232569245463227,0.7395947055136337,-0.016337780967310978,1331,8399
imbalanced,2016,0,LogReg,2021,5,0.6113783008287574,0.7395947055136337,-0.12821640468487627,1322,8399
